tweet,retweetsCount,favoritesCount
"На Байконуре осуществлён вывоз двух ракет на стартовые комплексы космодрома: http://t.co/rIleGgn9vC",13,9
"Видео первого пуска ракеты-носителя тяжелого класса «Ангара-А5» http://t.co/vGGnkn1G01",67,29
"23.12.2014 г. в 08:57 мск состоялся первый пуск испытательной ракеты-носителя 'Ангара-А5' тяжелого класса http://t.co/T8XbxZbNER",33,11
"Продолжается подготовка к запуску космического аппарата «Ресурс-П»№2. Запуск запланирован на 26.12.2014 г.:http://t.co/eowuwUHjlO",7,2
"We are glad to announce, that from today an English version of a web site is available in a test-mode by the link http://t.co/oiNuvzKHfL",155,128
"С сегодняшнего дня в тестовом режиме действует англоязычная версия сайта Роскосмоса по адресу http://t.co/oiNuvzKHfL",12,4
"Космические аппараты «О3Б» выведены на расчетную орбиту http://t.co/GxHGn33ALU http://t.co/QHrteYOIRo",32,16
"Состоялся пуск ракеты-носителя «Союз-СТ-Б» с космическими аппаратами «О3Б»: http://t.co/d3W86jhC5P http://t.co/U7etCXX8w6",45,14
"Состоялось заседание Межведомственной комиссии по отбору космонавтов: http://t.co/ii77CZ2TCy",4,2
"Кандидату в космонавты Анне Кикиной присвоена квалификация «космонавт-испытатель»: http://t.co/RyASrVsNKu http://t.co/f61qUp0apz",18,17
"Роскосмос и «Артек» договорились о сотрудничестве: http://t.co/ZS5VTKHZHC http://t.co/9rrj2aL7uy",14,6
"Совместная работа Елены Серовой и Саманты Кристофоретти в рамках эксперимента 'SPHERES':http://t.co/gdWxBoVTwG http://t.co/jkddlXFf6Z",37,31
"Состоялась пресс-конференция руководителя Роскосмоса по итогам работы в 2014 году: http://t.co/pCiJKs6W7j",7,3
"«Союз в ГКЦ»: состоялся вывоз ракеты-носителя «Союз-СТ» на стартовый комплекс http://t.co/OK9PMUM6Mo http://t.co/wnipXmTQEX",25,20
"Космический аппарат «Ямал-401» выведен на целевую орбиту http://t.co/vcC6PNdjgR",20,3
"Видео пуска ракеты-носителя «Протон-М» с телекоммуникационным космическим аппаратом «Ямал-401» http://t.co/G6TnsGQjJ2",39,22
"15 декабря 2014 года в 03:16 мск осуществлен пуск ракеты-носителя «Протон-М» с космическим аппаратом «Ямал-401»",37,9
"Государственная комиссия приняла решение о готовности РН «Протон-М» к заправке и пуску: http://t.co/R6aebEM6lZ http://t.co/QVOs6n8Mj1",51,29
"Вывоз ракеты космического назначения «Протон-М» с космическим аппаратом «Ямал-401» на стартовый комплекс:http://t.co/H8R2a2rugF",20,17
"На космодроме Байконур продолжается подготовка к запуску космического аппарата «Ресурс-П» № 2: http://t.co/tn1mYKgWEZ http://t.co/85QTHrICWW",30,17
"Космическое интервью Елены Серовой: http://t.co/40EmKUiP7g http://t.co/h27DOL59iX",41,31
"Ракету-носитель «Протон-М» с космическим аппаратом «Ямал-401» перевезли на заправочную станцию:http://t.co/6NlLlq1Co9 http://t.co/0Lfwqlt81D",49,26
"Космонавты поздравляют Героев Отечества http://t.co/2xVErqLrYO",11,11
"На Байконуре проведена сборка РКН «Протон-М» для запуска российского спутника связи «Ямал-401»:http://t.co/PXxRcduAmr http://t.co/3L4AXJYUGQ",18,14
"Подписано соглашение о дальнейшем развитии ГЛОНАСС: http://t.co/CzN78e8fPR",13,4
"На Байконуре завершается подготовка к запуску космического аппарата «Ямал-401»: http://t.co/JLOBb08mKm http://t.co/XwSD00hjQy",29,13
"RT @AntonAstrey: У меня в руках ёмкость с отсепарированной водой. Для чего она нужна? Читайте в моем блоге: http://t.co/hpBmWtnKBf http://t…",23,0
"В Гвианском космическом центре продолжается подготовка к пуску российской ракеты-носителя «Союз-СТ»: http://t.co/0IWWK4LuqR",34,9
"Запуск космического аппарата «Ямал-401» запланирован на 16 декабря: http://t.co/dz7NwaiewD",13,6
"Система ГЛОНАСС пополнилась космическим аппаратом «Глонасс-K»: http://t.co/yV9aXphNAu",9,4
"Новая запись Елены Серовой в блоге 'Почтовый ящик МКС': http://t.co/pQuItzkx2k http://t.co/yRXiiH09Xo",42,29
"Электрические испытания космического аппарата «Электро-Л»№2 в термо-вакуумной камере: http://t.co/o5d8VyUfqW http://t.co/gAgOMb4FqV",26,18
"О переносе даты запуска космического аппарата «Астра-2Ж»: http://t.co/QVOVWgPLIW",10,7
"На Байконуре начались работы по подготовке к очередному пилотируемому полёту: http://t.co/1mrAJn4w2Y",13,7
"Завершаются летные испытания космического аппарата «Метеор-М» №2: http://t.co/DvjjoAJCC3",10,4
"Ракета-носитель 'Протон-М' с космическим аппаратом 'Астра-2Ж'установлена на стартовый комплекс:http://t.co/F65nTTiy2g http://t.co/i3bZQFiVe3",37,28
"В 5:48 мск транспортный пилотируемый корабль «Союз ТМА-15М» пристыковался к МКС:http://t.co/p5VmxFQqVJ http://t.co/TzWadBGYiH",133,91
"Состоялся запуск пилотируемого корабля «Союз ТМА-15М»:http://t.co/b4qczJLpMH http://t.co/1X6XQ9CoS9",159,124
"Госкомиссия приняла решение о готовности РКН «Союз-ФГ» с ТПК «Союз ТМА-15М» к заправке компонентами топлива и пуску. http://t.co/se6nyKFSFu",71,55
"Экипаж МКС-42/43 переезжает на площадку 254 для процедуры одевания и проверки герметичности скафандров. http://t.co/hhGq54EibK",46,39
"На Байконуре состоялась пресс-конференция основного и дублирующего экипажей МКС-42/43: http://t.co/3oMIkwryFl http://t.co/x93sWxZdQN",24,24
"Государственная комиссия утвердила экипажи транспортного пилотируемого корабля «Союз ТМА-15М»: http://t.co/hgpdb7a25a http://t.co/2Px73Ki0CL",30,24
"Пилотируемый космический корабль «Союз ТМА-15М» доставлен на стартовый комплекс http://t.co/sAoWhiUrYB",14,8
"Россия-Беларусь: 15 лет космического сотрудничества. http://t.co/BP1f3hqKdS http://t.co/iqIsMEXPTE",6,4
"Новая запись в блоге 'Почтовый ящик МКС': http://t.co/m4oetmLhDC http://t.co/lBHbPPQlWn",16,13
"Техруководство и Госкомиссия приняли решение о вывозе ракеты-носителя с ТПК 'Союз ТМА-15М' на стартовый комплекс http://t.co/KFrN0arntx",23,15
"Транспортный грузовой корабль «Прогресс М-24М» завершил свой полет. Произведено затопление несгораемых остатков в Тихом океане.",11,4
"Завершена сборка космической головной части ракеты «Протон-М» для запуска КА «Астра-2Ж»: http://t.co/2Fb8w8XIaG http://t.co/U4nMU72qJ6",19,8
"В Москве проходит XV Конференция по космической биологии и авиакосмической медицине: http://t.co/965UOASoyU http://t.co/ICyMJ524Lu",18,10
"На транспортный пилотируемый корабль «Союз ТМА-15М» установили головной обтекатель:http://t.co/KTfLC4YLq4 http://t.co/Am5tibQPgC",25,19
"26 лет назад, 15 ноября 1988 года, с космодрома Байконур стартовала сверхтяжелая ракета «Энергия» с кораблем «Буран» http://t.co/Hi2wDkvfMC",168,75
"Экипажи 42/43 длительной экспедиции на МКС готовятся к старту с космодрома Байконур http://t.co/RjAsCh6Adw",13,5
"На Байконуре продолжаются работы по подготовке к запуску космического аппарата «Ямал-401»:http://t.co/gTzyG46nCX http://t.co/U8wPMV9ln4",14,10
"Заправленный топливом и сжатыми газами 'Союз ТМА-15М' доставлен в МИК для проведения заключительных операций http://t.co/wfzAY4skno",29,15
"Новая запись Елены Серовой в блоге 'Почтовый ящик МКС': http://t.co/PmaX31f9eD http://t.co/jCxhbBV3ly",79,111
"Роскосмос принимает участие в международном авиационно-космическом салоне 'Airshow China 2014':http://t.co/XL8nGH6fD1 http://t.co/W80GClTdKy",37,8
"Основной экипаж МКС-42/43 прибыл на Байконур. Пуск запланирован на 24 ноября: http://t.co/9szSVp7rTo http://t.co/rsmVylhe8b",32,38
"Разгонный блок «Бриз-М» для запуска космического аппарата «Ямал-401» доставлен на Байконур: http://t.co/nGAH3WMeuc http://t.co/23xCWAVdni",39,8
"Центру эксплуатации наземной космической инфраструктуры 20 лет! http://t.co/NxSY4sgXeG",20,7
"Состоялась рабочая встреча руководителя Роскосмоса и главы КНК http://t.co/4mVhwkfc4a http://t.co/Jah4WCnHYp",14,9
"Экипаж ТПК «Союз ТМА-13М» вернулся на Землю http://t.co/2cbOr33AjE",19,10
"МКС и ТПК «Союз ТМА-13М». Люки закрыты. http://t.co/diTSVG4TgN",14,12
"Организации Роскосмоса участвуют в профориентационной выставке «Образование и карьера»: http://t.co/0R59DiSfrx http://t.co/hIQwaeCYsi",11,4
"Состоялось заседание коллегии Роскосмоса по вопросам готовности к запуску ТПК «Союз ТМА-15М»: http://t.co/jcSefeyi4x",7,3
"Предполетная пресс-конференция основного и дублирующего экипажей МКС-42/43: http://t.co/njNly4V1pO http://t.co/NFM2emUwWD",23,11
"Представители Роскосмоса и организаций РКП примут участие в «AirShow China 2014»: http://t.co/lfloOqeQaW",9,3
"Состоялась встреча глав космических агентств стран, принимающих участие в программе МКС: http://t.co/mGSaVd54oO",3,3
"Новая запись Елены Серовой в блоге 'Почтовый ящик МКС': http://t.co/tbcrlG205W http://t.co/6ePStQuvwY",42,54
"«Прогресс М-25М» впервые доставил на МКС четвертое поколение мух Drosophila melanogaster: http://t.co/VJvzYPhIeE http://t.co/DHibM3OTOq",15,7
"Жизнеспособность микроорганизмов в условиях космического пространства подтверждена: http://t.co/SuyYroFIOf http://t.co/jzglCilIGM",23,12
"Космические аппараты «Ямал-401» и «Астра-2Ж» доставлены на Байконур: http://t.co/QmDzFfo8Lt http://t.co/dF89AuT25C",33,10
"Как на МКС встречали Прогресс М-25М, можно узнать из новой записи Елены Серовой в блоге: http://t.co/3Iklryzske http://t.co/TCf5gnR8sw",25,20
"Результаты летных испытаний космического комплекса «Спектр-Р»: http://t.co/0COEwL7VcX http://t.co/rQqEszxDsS",15,7
"Видео пуска ракеты космического назначения «Союз 2.1а» с транспортным грузовым кораблем «Прогресс М-25М», 29.10.2014г.http://t.co/m9CXwNZen6",26,10
"29.10.2014 г. в 16:08 мск транспортный грузовой корабль «Прогресс М-25М» пристыковался к российскому сегменту МКС. http://t.co/jtxFfpsKH7",56,17
"Ракета «Союз 2.1а» с ТГК «Прогресс М-25М» стартовала с космодрома Байконур: http://t.co/cfEHjPpsOV http://t.co/h1RZNyUw7j",51,23
"Госкомиссия приняла решение о заправке РКН «Союз 2.1а» с ТГК «Прогресс М-25М» компонентами топлива.",8,3
"Сегодня космонавт Елена Серова проводит экскурсию по Международной космической станции: http://t.co/qwfMnr6ukm",32,18
"Состоялся вывоз РН «Союз 2.1а» с ТГК «Прогресс М-25М», пуск запланирован на 29 октября: http://t.co/sKh8vuLi3J http://t.co/stpmqalinb",14,5
