tweet,retweetsCount,favoritesCount
"Where on Earth is @SciAstro? @NSF_OPP is a clue? http://t.co/nTkKssQnvw",1,4
"RT @SOFIAtelescope: SOFIA is back @NASAArmstrong http://t.co/YDXtNbKsrW",50,0
"President Obama:  'I'm intrinsically hopeful' at the WH Nat. Medals of Science and Tech ceremony today.  #STEM http://t.co/eHVY9hp7Nm",7,11
"shipping the Deep Space Climate Observatory, a #NASA #NOAA partnership, to the launch site in Florida today. http://t.co/vNvIU9Dg5q",5,15
"RT @SOFIAtelescope: We're nearing the end of maintenance in #Hamburg. #NASA747 http://t.co/YBscCElj4d",10,0
"RT @esaoperations: '@ESA_Rosetta: My OSIRIS camera spotted @philae2014 drifting across #67P! http://t.co/pFwWfaJXy4 #CometLanding http://t.…",331,0
"RT @CBSNLive: 'This is a question about our own origins,' former astronaut John Grunsfeld (@SciAstro) says of @ESA_Rosetta mission. http://…",2,0
"#CometLanding is being covered by newspapers around the world above the fold. Planetary Science Rocks!",31,56
"RT @esaoperations: From ESOC RT @esa: Media briefing - latest on @ESA_Rosetta #cometlanding starts 13:00 GMT (14:00 CET). Follow live http:…",52,0
"A page from Edwin Hubble's thesis I flew in space with me to the Hubble Space Telescope in 2002 at @IntrepidMuseum http://t.co/sronToCJVo",3,12
"Tools for repairing HST at @IntrepidMuseum for #Hubble25 http://t.co/zynozL9ODd",5,8
"at the @IntrepidMuseum in NYC to kick-off celebrations for the 25th anniversary of @NASA_Hubble. #Hubble25 http://t.co/Ulp2VsKoNL",12,15
"On the train up to NYC to meet my STS-125 crew at @IntrepidMuseum.  Opening an HST exhibit as a preview to #Hubble25",4,12
"Catching a ride on a comet.  #ESA has done it with Philae!   #CometLanding   We live in an amazing time for #STEM and space exploration",22,26
"Landing on a comet. #rosettamission livecast http://t.co/S62U6B75Nx #CometLanding",4,5
"How to make a new solar system.  #ALMA observes a planetary system forming https://t.co/oEMmk2kLQV http://t.co/yp33j2LjYl",11,13
"RT @NASAedu: Take photos of #EarthRightNow from the unique perspective of space. Sign-up for #EarthKAM. https://t.co/dMfzp8Dq5q http://t.co…",183,0
"RT @BadAstronomer: Today, with our votes, we literally choose the future of humanity. http://t.co/qychRSiWNM #ScienceDenial #GlobalWarming",84,0
"Elon Musk says the point of Dragon capsule is to transport scientists and engineers to space.   Dragon doesn't need pilots.  #SpaceX",6,13
"At the 100 years of AeroAstro at #MIT celebration with Elon Musk #SpaceX A true meeting of the nerds. http://t.co/YWq7lsIUYI",7,7
"RT @NASASocial: Webcast from Mars Express control room #MarsComet #SidingSpring starts at 1:50pm ET today: http://t.co/OqY71EY7E1 http://t.…",77,0
"The NASA Science Fleet will be watching for #SidingSpring  as zips past Mars #JourneyToMars http://t.co/WsjY5q2LfK",51,40
"Counting down to comet #SidingSpring closest approach to Mars.  Check out http://t.co/pulkOnbL5u",3,5
"Congratulations to the ISRO MOM Team for a successful Mars Probe Arrival http://t.co/pDC4SVOVDy http://t.co/V5IhC7req0",19,17
"#MAVEN press conference starts in 5 minutes.  http://t.co/fYtRLzVY3z #NASASocial",1,3
"We made it.  #MAVEN2mars #MAVEN is on orbit around Mars!   Go MAVEN!",55,69
"With a light travel time of 12.38 seconds the burn is compete.  We're just waiting to know the outcome. #MAVEN #MAVEN2mars",88,94
"About half way through the burn to enter Mars orbit for #MAVEN http://t.co/ukAvGvNkgx",23,22
"#MAVEN #MAVEN2mars  the engines are alive!!!  The critical burn to enter Mars orbit has started.",39,36
"#MAVEN #NASASocial today at 5pm MDT.  Ready for Mars Orbit Insertion. http://t.co/baOFlIK0dz http://t.co/9nBdEdPndx",22,27
"Can you predict the future.  Capture your thoughts and send to asteroid Bennu http://t.co/xNosQ5nWSN #NASASocial #osiris-rex",3,1
"Join us right now as we announce the science behind our M2020 #JourneyToMars! Submit your Q at #AskNASA. http://t.co/ukWnIfhued",3,3
"Announcing the M2020 rover instruments for our #JourneyToMars at Noon ET. Send your questions to #AskNASA! http://t.co/ukWnIfhued",7,1
"Join us at Noon ET and ask questions via #AskNASA as we announce instruments selected for our #JourneyToMars!  http://t.co/3UgU0K7GsX",12,4
"RT @NASA_EO: NASA Selects Instruments to Track Climate Impact on Vegetation http://t.co/JEkED3MsTU http://t.co/nVPrJfL9ej",60,0
"Mars 2020 our next giant leap in exploration: news today  #JourneyToMars!  http://t.co/3UgU0K7GsX http://t.co/ddXgurAMaV",5,10
"RT @NASASocial: TODAY: Are we alone? We don't know. Experts discuss the search at 2pm ET: http://t.co/N1dRaw5b3l  Q? #askNASA http://t.co/j…",27,0
"Join our discussion on the Search for Life in the Universe live at 2:00 pm ET http://t.co/8VMMMojfbU #askNASA #NASASocial",12,7
"Do you feel alone in the cosmos?  Check out the panel today on the Search for Life in the Universe. http://t.co/e7rKrlKsRT #NASASocial",6,8
"#OCO2 solar arrays out, power positive on orbit!    Thanks Delta II. #EarthRightNow #NASASocial",10,8
"#OCO2 in orbit!   One more burn of the second stage engine to circularize the orbit in 40 min.",10,9
"Second stage, fairing gone!  phew!  #OCO2 on the way to orbit. #EarthRightNow #NASASocial",67,105
"If you are in LA go out now to see if you can spot #OCO2 going by.",1,7
"Liftoff of #OCO2 on a mission to unravel the science of the CO2 cycle. #EarthRightNow #NASASocial",4,4
