tweet,retweetsCount,favoritesCount
"Beautiful FL! “@AstroTerry: South Florida, #Cuba, and #Bahamas- the camera just can't capture the colors http://t.co/RRQiGfZ56g”",17,30
"Honor to deliver, help install &amp; 1st run on COLBERT (treadmill) 5 yrs ago #ISS @StephenAtHome #FarewellColbertReport http://t.co/eNsvzkv7t5",38,65
"London “@AstroSamantha: I hope you guys and girls in #London were smiling last night, because you were on camera! http://t.co/0BGuo2dG3K”",6,19
"FL pic- great angle “@AstroTerry: Sunny #FL, living up to its name! looks a lot warmer than much of the Earth now... http://t.co/mHWRGIMXKj”",58,69
"@lucyfhdz Happy Birthday!!",0,0
"Downtown Houston skyline last night http://t.co/HDL1NeTDu1",12,31
"Theres's an @EmbryRiddle alumni inside that suit! #GoEagles #JSCCelebrates http://t.co/GsNnSYm3j9",9,21
"Beautiful shots from #ISS “@AstroTerry: Venus sits on the background of the Earth's atmosphere http://t.co/cfkTcnZc5t”",15,20
"They wave back ;) '@NASA: 6 people living in space #ISS! Wave next time they fly over you http://t.co/BugCFIPpPS http://t.co/mdVfUi3j8G'",36,111
"In Awe! @NASA: Earth as seen from #Orion during flight out to a peak altitude of 3,600 miles away from the planet. http://t.co/FvGNTTlhbn",125,158
"Go @UCF Knights science! “@DreamUp_ISS: #NanoRacks #ISS Using Micro-G to Study Planet Formation from Univ Central FL http://t.co/TfdLdOZgfn”",3,5
"Nice pics! “@Spaceflight101: #Orion recovered after successful 2-orbit test flt http://t.co/37bnY2Gc93 | U.S. Navy http://t.co/8uo2h9uz4J”",18,19
"RT @ObservingSpace: Orion floating in the Pacific Ocean #orion #orionlaunch http://t.co/fgjY1cEn6K",88,0
"Splashdown! #Orion Stable1!!!! Yay!!!",13,17
"RT @graysonkamm: #Orion is cutting its way through the atmosphere right now -- temps up to 4,000 degrees. Data blackout now. #WTSP http://t…",9,0
"Liftoff!!!!!  Go #Orion!!!!  #ToOurFuture! http://t.co/Pu8zCfgbuj",131,148
"L-12 min, @Astro2fish and I are go for launch!!! #Orion http://t.co/NyuwXyyxCV",23,54
"Ready for launch at the KSC causeway! Hope you'll be watching at 7:05 am ET #Orion http://t.co/M5vci0849H",7,17
"Thurs 7:05 am ET “@NASA: #Orion is poised for 1st trip to space! Weather remains 60% go: http://t.co/oGGbQbjpAY http://t.co/PTflx1EgSL”",13,15
"Go @EmbryRiddle Eagles! Thx @Astro_Clay: '@Astro_Nicole We shoulda bet lunch! I'll pay if you wanna go! ;) Congrats!'",0,2
".@SpaceArtLPI: Still Time to Submit #HISAChallenge Video Entries- Due Today Nov 30 at 23:59 US Central Time. http://t.co/87clvnLno6",5,3
"Always made me wonder why it's called the -85 deg lab freezer...? #MELFI ;) “@AstroTerry: it’s -95 deg F in here! http://t.co/o8etkqLbSn”",4,8
"Thanksgiving in space! “@foreman_mike: Expedition 42 Crew to Celebrate Thanksgiving in Orbit http://t.co/owtsEB5nuL”",6,5
"Exploration!  #InnerSpace “@AnoushehAnsari: Let's go down now! Exploring the ocean’s hidden depths http://t.co/y3NdFxrGam”",2,6
"Thanksgiving prep 5yrs ago-STS129 #AstroButch Scorch Komrade @foreman_mike @Astro_Flow &amp; @Astro_Bones #Thanks! http://t.co/jaqDHJ7FmJ",17,27
"Such a cool place by night or day!!! “@AstroTerry: The US Lab at night while we sleep http://t.co/vKe7UzOtYL”",13,18
"Getting ready for his #ISS Thanksgiving feast “@NASA_Astronauts: “Thanksgiving Plans And A Selfie !' #AstroButch http://t.co/MDEC5pZvnG”",28,32
