screen_name,name,id,created_at,followers_count,following_count,tweets_count,favorites_count,
DESERT_RATS,NASA Desert RATS,15117459,Sat Jun 14 15:33:11 +0000 2008,50631,17,1813,8,
HMP,HaughtonMars Project,13873072,Sat Feb 23 18:12:40 +0000 2008,1066,7,349,7,
ISS_Research,ISS Research,189253902,Fri Sep 10 19:48:53 +0000 2010,187164,347,7154,1836,
NASAMightyEagle,Mighty Eagle,334811174,Wed Jul 13 18:14:35 +0000 2011,747,22,827,0,
NASA_NEEMO,NASA_NEEMO,135275592,Tue Apr 20 21:09:07 +0000 2010,20092,59,1315,1059,
NASA_Orion,Orion Spacecraft,33602654,Mon Apr 20 18:04:43 +0000 2009,171131,111,3943,1170,
PavilionLake,Pavilion Lake,14422617,Thu Apr 17 16:27:59 +0000 2008,692,103,378,5,
MorpheusLander,Morpheus Lander,244208830,Fri Jan 28 19:51:37 +0000 2011,12725,31,3403,3015,
AstroRobonaut,Robonaut,161760542,Thu Jul 01 18:08:43 +0000 2010,68643,82,3740,9,
NASA_SLS,NASA_SLS,467739426,Wed Jan 18 20:01:29 +0000 2012,22798,425,2864,1545,
